0.215716 0.000000 0.000000 1.420784 
0.478535 0.000000 0.000000 1.500000 
0.741379 0.000000 0.000000 1.500000 
1.003920 0.000000 0.000000 1.240785 
1.267180 0.000000 0.000000 1.500000 
1.529702 0.000000 0.000000 1.438082 
1.792763 0.000000 0.000000 1.500000 
2.055288 0.000000 0.000000 1.500000 
2.318035 0.000000 0.000000 1.500000 
2.581054 0.000000 0.000000 1.240785 
2.843908 0.000000 0.000000 1.455793 
3.106440 0.000000 0.000000 1.500000 
3.369245 0.000000 0.000000 1.295664 
3.631991 0.000000 0.000000 1.240785 
3.895311 0.000000 0.000000 1.267650 
4.157523 0.000000 0.000000 1.500000 
4.420427 0.000000 0.000000 1.500000 
4.683022 0.000000 0.000000 1.500000 
4.945686 0.000000 0.000000 1.281509 
5.208283 0.000000 0.000000 1.500000 
5.471345 0.000000 0.000000 1.214999 
5.733939 0.000000 0.000000 1.500000 
5.996849 0.000000 1.000000 1.500000 
6.079108 0.322699 1.000000 1.500000 
6.093820 1.810604 1.000000 1.040912 
6.106495 2.098511 1.000000 1.022496 
6.121395 1.766196 1.000000 1.013522 
6.152394 0.857605 1.000000 0.996025 
6.208507 0.475217 1.000000 0.970847 
6.254169 0.581702 1.000000 1.121460 
6.273058 1.401523 1.000000 1.069769 
6.290038 1.574008 1.000000 1.040912 
6.315674 1.037751 1.000000 1.500000 
6.368673 0.501590 1.000000 1.500000 
6.411166 0.624293 1.000000 0.962726 
6.431301 1.321037 1.000000 0.970847 
6.451419 1.325530 1.000000 1.022496 
6.480657 0.908904 1.000000 1.500000 
6.528828 0.553606 1.000000 0.874625 
6.571321 0.623002 1.000000 0.939133 
6.592066 1.272815 1.000000 1.022496 
6.613464 1.251890 1.000000 1.089882 
6.641943 0.933493 1.000000 1.500000 
6.694010 0.510283 1.000000 1.100216 
6.734559 0.655357 1.000000 1.110739 
6.752257 1.504656 1.000000 0.895152 
6.771841 1.354529 1.000000 0.874625 
6.802184 0.876091 1.000000 1.500000 
6.849655 0.560112 1.000000 1.050362 
6.889638 0.663495 1.000000 1.050362 
6.911687 1.210046 1.000000 0.962726 
6.933846 1.200181 1.000000 0.979102 
6.962072 0.940650 1.000000 1.492509 
7.013276 0.522023 1.000000 0.795280 
7.052976 0.661508 1.000000 0.895152 
7.073225 1.326858 1.000000 1.040912 
7.092775 1.352593 1.000000 1.031624 
7.123170 0.877832 1.000000 0.962726 
7.170706 0.558977 1.000000 1.031624 
7.210695 0.664960 1.000000 0.962726 
7.232179 1.236238 1.000000 0.931515 
7.254162 1.209825 1.000000 0.830095 
7.282019 0.954473 1.000000 1.132382 
7.330417 0.549018 1.000000 0.842364 
7.370890 0.654450 1.000000 0.784295 
7.394169 1.148777 1.000000 0.830095 
7.415556 1.243431 1.000000 0.881365 
7.445900 0.876091 1.000000 1.059980 
7.490593 0.592523 1.000000 0.902204 
7.528732 0.699725 1.000000 1.340000 
7.552516 1.117201 1.000000 1.324899 
7.577551 1.062721 1.000000 0.867983 
7.605411 0.954061 1.000000 0.848630 
7.646636 0.644643 1.000000 0.954736 
7.682880 0.733178 1.000000 0.979102 
7.715255 0.821349 1.000000 0.987493 
7.740734 1.038890 1.000000 0.812327 
7.772840 0.830409 1.000000 0.874625 
7.805680 0.804982 1.000000 0.909363 
7.839180 0.797616 1.000000 0.939133 
7.872292 0.799252 1.000000 0.806567 
7.906404 0.779962 1.000000 1.040912 
7.937372 0.859385 1.000000 0.818168 
7.974807 0.710989 1.000000 0.842364 
8.009526 0.765719 1.000000 0.888207 
8.040543 0.856940 1.000000 0.881365 
8.070885 0.873780 1.000000 0.987493 
8.101905 0.859162 1.000000 0.830095 
8.135039 0.802155 1.000000 1.132382 
8.167249 0.825237 1.000000 1.132382 
8.199937 0.809309 1.000000 1.069769 
8.232901 0.805471 1.000000 0.861437 
8.262645 0.896360 1.000000 1.132382 
8.299509 0.720892 1.000000 0.931515 
8.333650 0.780790 1.000000 0.962726 
8.365513 0.841270 1.000000 0.939133 
8.396390 0.853187 1.000000 0.962726 
8.427394 0.857716 1.000000 0.924016 
8.460898 0.793223 1.000000 0.848630 
8.493813 0.807533 1.000000 1.004700 
8.526064 0.819115 1.000000 1.079735 
8.559839 0.791612 1.000000 0.824089 
8.625701 0.403373 1.000000 1.254079 
8.658202 0.824620 1.000000 1.100216 
8.682050 1.102329 1.000000 0.996025 
8.707766 1.033864 1.000000 1.340000 
8.734556 0.992509 1.000000 1.355438 
8.763054 0.928912 1.000000 1.355438 
8.795299 0.822981 1.000000 1.281509 
8.825468 0.881688 1.000000 1.004700 
8.856455 0.857383 1.000000 0.996025 
8.885101 0.933362 1.000000 1.324899 
8.920782 0.750453 1.000000 0.931515 
8.953654 0.801961 1.000000 1.143512 
8.984088 0.873089 1.000000 1.371222 
9.015679 0.836490 1.000000 1.387367 
9.047819 0.832077 1.000000 1.031624 
9.082168 0.779779 1.000000 1.324899 
9.115673 0.787004 1.000000 1.310123 
9.147884 0.825237 1.000000 1.240785 
9.180257 0.820027 1.000000 1.254079 
9.245880 0.404111 1.000000 1.281509 
9.278801 0.811688 1.000000 1.295664 
9.304171 1.058138 1.000000 1.254079 
9.329927 1.021588 1.000000 1.492509 
9.357166 0.975843 1.000000 1.500000 
9.385659 0.926314 1.000000 1.500000 
9.418533 0.814182 1.000000 1.500000 
9.449344 0.862181 1.000000 1.500000 
9.480489 0.853407 1.000000 1.500000 
9.544691 0.412978 1.000000 1.166419 
9.577174 0.821349 1.000000 1.324899 
9.602904 1.031128 1.000000 1.455793 
